stadium,date,time,home,guest
Stadio Romeo Malservisi-Mario Matteini,2021-03-03,00:36:09,Oman,Serbia
Stadio Romeo Malservisi-Mario Matteini,2021-05-05,09:13:03,Argentina,United Kingdom
Ferney Park,2021-03-31,21:03:54,El Salvador,The Gambia
Ferney Park,2021-04-28,21:14:44,Iraq,Dominica
Ferney Park,2021-03-22,04:47:43,Myanmar,Dominica
Ferney Park,2021-04-28,16:44:03,Kazakhstan,Mauritius
Ferney Park,2020-12-09,12:03:47,Laos,Poland
Ferney Park,2020-11-28,15:01:35,Philippines,San Marino
Estádio Municipal Coronel José Bezerra,2021-04-13,17:56:42,Qatar,Bahrain
Estádio Municipal Coronel José Bezerra,2021-05-03,09:51:20,Italy,Philippines
Estádio Municipal Coronel José Bezerra,2021-02-16,01:45:41,Djibouti,Israel
Estádio Municipal Coronel José Bezerra,2021-03-08,02:22:57,Malta,Burkina Faso
Estádio Municipal Coronel José Bezerra,2021-04-01,21:41:42,Solomon Islands,Guernsey
Estádio Municipal Coronel José Bezerra,2020-11-24,02:54:21,South Korea,Greenland
Estádio Municipal Coronel José Bezerra,2021-03-27,14:31:48,British Virgin Islands,Kuwait
Estádio Municipal Coronel José Bezerra,2021-02-22,02:06:02,Philippines,United States of America
Estádio Municipal Coronel José Bezerra,2021-04-04,07:43:13,The Gambia,Antigua and Barbuda
Gradski stadion,2021-03-12,16:16:06,Costa Rica,United States of America
Gradski stadion,2021-02-19,13:34:55,Saint Vincent and the Grenadines,Paraguay
Gradski stadion,2021-02-15,19:49:59,Brazil,Taiwan
Gradski stadion,2020-12-11,02:02:34,Estonia,Uzbekistan
Gradski stadion,2021-04-07,04:54:04,Malawi,South Africa
Gradski stadion,2021-02-02,06:33:04,Suriname,Ukraine
Gradski stadion,2021-02-25,00:50:41,Poland,Grenada
Gradski stadion,2020-11-25,13:09:07,Saint Vincent and the Grenadines,Gabon
Gradski stadion,2021-04-21,18:22:32,Faroe Islands,Cyprus
Gradski stadion,2021-03-07,23:24:43,Mauritania,Zimbabwe
Gradski stadion Luke,2021-04-09,00:50:33,Ukraine,North Macedonia
Gradski stadion Luke,2021-05-13,11:59:09,Ukraine,Uzbekistan
Gradski stadion Luke,2021-04-10,20:06:55,Tajikistan,Russia
Gradski stadion Luke,2021-01-22,10:33:47,Romania,New Zealand
Gradski stadion Luke,2021-01-16,01:58:01,Nepal,Colombia
Gradski stadion Luke,2020-11-23,20:21:11,Liberia,Cyprus
Gradski stadion Luke,2021-05-14,05:11:45,Mali,Liechtenstein
Gradski stadion Luke,2021-01-01,00:39:25,Costa Rica,Guernsey
Gradski stadion Luke,2021-02-25,20:11:36,The Gambia,South Sudan
Gradski stadion Luke,2021-01-07,15:25:23,Ecuador,Morocco
Geroskipou Municipal Stadium,2020-11-29,23:59:24,Hungary,Cambodia
Geroskipou Municipal Stadium,2021-02-16,00:46:23,Ireland,Mali
Geroskipou Municipal Stadium,2021-03-06,15:26:02,Liechtenstein,Gabon
Geroskipou Municipal Stadium,2021-02-13,17:42:56,Republic of Abkhazia,Nigeria
Geroskipou Municipal Stadium,2021-03-04,05:28:01,Panama,Thailand
Jatidiri Stadium,2021-02-24,04:14:48,Philippines,Turkey
Jatidiri Stadium,2020-12-01,06:53:15,New Zealand,Liberia
Jatidiri Stadium,2020-11-28,10:31:18,Luxembourg,Bangladesh
Jatidiri Stadium,2021-04-09,13:44:47,Georgia,Belgium
Jatidiri Stadium,2020-12-29,13:18:54,Benin,Malaysia
Jatidiri Stadium,2021-02-24,21:59:29,Ivory Coast,Portugal
City Stadium,2021-02-07,17:12:09,Romania,Argentina
City Stadium,2021-03-02,03:52:32,Laos,Albania
City Stadium,2021-03-01,16:23:52,Taiwan,Nicaragua
City Stadium,2021-04-30,13:31:48,Benin,Czech Republic
City Stadium,2021-03-23,01:29:41,Canada,Philippines
City Stadium,2020-12-09,11:24:57,Solomon Islands,Canada
City Stadium,2021-03-25,21:28:10,Burundi,Dominica
City Stadium,2020-12-18,14:56:37,Finland,Thailand
City Stadium,2021-01-25,16:06:14,United States of America,Brazil
City Stadium,2021-03-31,00:20:16,Russia,Djibouti
Mezőkövesdi Városi Stadion,2021-03-08,15:43:59,Australia,Iran
Mezőkövesdi Városi Stadion,2020-12-29,14:25:43,Bulgaria,Switzerland
Mezőkövesdi Városi Stadion,2021-01-09,12:22:18,Albania,Uganda
Mezőkövesdi Városi Stadion,2021-03-08,09:42:14,South Korea,Iceland
Mezőkövesdi Városi Stadion,2021-04-02,06:03:25,Peru,Democratic Republic of the Congo
Mezőkövesdi Városi Stadion,2020-11-25,18:04:34,Australia,Azerbaijan
Mezőkövesdi Városi Stadion,2021-01-17,15:28:40,Russia,State of Palestine
Mezőkövesdi Városi Stadion,2021-01-22,02:09:07,Moldova,Burkina Faso
Mezőkövesdi Városi Stadion,2020-12-19,17:19:48,Thailand,Oman
Mezőkövesdi Városi Stadion,2021-02-10,09:22:37,Guatemala,Mali
Estadio Pepe Rojo,2020-12-29,19:52:07,Tajikistan,Nigeria
Estadio Pepe Rojo,2021-03-31,16:38:21,Bahrain,Indonesia
Estadio Pepe Rojo,2021-05-17,20:48:43,Paraguay,Bulgaria
Estadio Pepe Rojo,2021-02-12,18:16:08,Gabon,Belgium
Estadio Pepe Rojo,2021-01-26,09:22:49,Montenegro,Burkina Faso
Estadio Pepe Rojo,2021-01-05,14:43:19,Ghana,Venezuela
Estadio Pepe Rojo,2021-02-22,20:16:33,Guatemala,Finland
Estadio Pepe Rojo,2021-02-21,23:34:55,Nigeria,Ecuador
Stadio Valentino Mazzola,2021-04-08,17:54:08,Tajikistan,Taiwan
Stadio Valentino Mazzola,2021-01-18,08:27:49,New Zealand,Moldova
Stadio Valentino Mazzola,2020-12-15,13:49:27,United Kingdom,Bulgaria
Stadio Valentino Mazzola,2021-02-11,04:43:03,Germany,Paraguay
Stadio Valentino Mazzola,2021-02-15,21:35:00,Gabon,Georgia
Princess Royal Park,2021-04-05,12:41:04,Germany,Iceland
Princess Royal Park,2021-03-02,20:42:40,Dominica,Colombia
Princess Royal Park,2021-04-30,21:59:16,Gabon,United Kingdom
Princess Royal Park,2021-05-09,16:50:41,France,North Korea
Princess Royal Park,2021-01-04,01:35:32,Republic of Abkhazia,Estonia
Galabank,2021-03-27,10:01:05,Kyrgyzstan,Azerbaijan
Galabank,2021-01-31,17:20:14,Nigeria,Bhutan
Galabank,2020-12-01,07:39:18,Poland,India
Galabank,2020-12-06,13:47:46,Sierra Leone,State of Palestine
Harlaw Park,2021-03-31,17:51:12,Somalia,Malta
Harlaw Park,2020-11-24,15:09:44,El Salvador,Netherlands
Harlaw Park,2021-01-04,00:31:12,Kosovo,Spain
Harlaw Park,2021-01-14,02:27:51,Bhutan,Republic of Abkhazia
Harlaw Park,2021-05-09,14:51:53,Panama,Spain
Harlaw Park,2020-12-05,17:52:09,Moldova,Croatia
Harlaw Park,2021-03-26,23:39:48,Dominican Republic,Nepal
CSR Orhei,2021-04-17,20:56:48,Slovakia,Solomon Islands
CSR Orhei,2021-03-24,16:36:16,Germany,Kenya
CSR Orhei,2021-02-09,05:44:05,Eritrea,Ireland
CSR Orhei,2021-04-24,03:54:35,Qatar,Afghanistan
CSR Orhei,2021-03-08,01:37:43,Singapore,Cape Verde
CSR Orhei,2020-11-28,02:06:06,Mauritania,Hungary
CSR Orhei,2021-03-30,18:04:14,Peru,Guernsey
CSR Orhei,2021-04-15,21:00:04,Saudi Arabia,Australia
CSR Orhei,2021-04-06,15:24:07,Libya,Finland
Stadionul Ștrand,2021-01-10,13:25:45,Kazakhstan,Kenya
Stadionul Ștrand,2021-03-11,13:18:56,North Korea,Panama
Stadionul Ștrand,2021-02-28,18:27:04,North Korea,Burundi
Stadionul Ștrand,2021-01-09,16:44:02,Liberia,São Tomé and Príncipe
Ligi Ndogo Grounds,2021-01-27,17:02:46,Thailand,Chile
Ligi Ndogo Grounds,2021-01-16,02:16:14,Qatar,Saint Lucia
Ligi Ndogo Grounds,2021-05-06,06:14:03,Saint Kitts and Nevis,United Kingdom
Ligi Ndogo Grounds,2021-04-22,12:55:28,Luxembourg,Turkmenistan
Ligi Ndogo Grounds,2020-12-29,02:44:44,Belarus,Zimbabwe
Ligi Ndogo Grounds,2021-03-21,19:04:49,Jordan,Kuwait
Shatili Arena,2021-05-13,13:22:43,Qatar,Saint Vincent and the Grenadines
Shatili Arena,2021-03-06,10:11:36,North Korea,India
Shatili Arena,2020-12-22,14:08:19,Botswana,South Sudan
Shatili Arena,2021-02-04,17:43:39,Canada,Greece
Shatili Arena,2021-04-29,12:39:07,Albania,British Virgin Islands
Shatili Arena,2021-02-08,09:29:14,Philippines,Ivory Coast
Shatili Arena,2021-03-22,20:09:28,Zambia,Liechtenstein
Adamstown Oval,2021-02-02,08:11:52,Brunei,Paraguay
Adamstown Oval,2021-03-14,06:33:42,Mali,Estonia
Adamstown Oval,2021-01-11,09:16:24,Luxembourg,South Africa
Adamstown Oval,2021-04-01,04:21:03,Iran,Spain
Adamstown Oval,2021-05-07,05:47:51,Ghana,Myanmar
Adamstown Oval,2021-03-13,20:55:33,Saudi Arabia,Somalia
Emperador Stadium,2021-03-21,02:37:22,Canada,Saint Vincent and the Grenadines
Emperador Stadium,2021-04-23,14:34:55,South Sudan,Albania
Emperador Stadium,2021-01-04,23:42:43,Slovenia,France
Emperador Stadium,2021-04-02,13:59:06,Poland,Botswana
Emperador Stadium,2021-04-16,21:17:16,Italy,Afghanistan
Emperador Stadium,2020-12-09,07:04:12,Brazil,Georgia
Emperador Stadium,2020-11-28,06:57:43,Algeria,Syria
Emperador Stadium,2020-12-20,09:56:09,Kyrgyzstan,Iran
Winnipeg Soccer Complex,2021-04-05,09:46:09,Liechtenstein,Hungary
Winnipeg Soccer Complex,2021-03-14,13:16:36,Saint Kitts and Nevis,Paraguay
Winnipeg Soccer Complex,2020-12-11,16:11:03,Israel,Fiji
Winnipeg Soccer Complex,2021-02-16,13:15:59,Gabon,Ecuador
Winnipeg Soccer Complex,2020-11-25,12:28:21,Jordan,Brunei
Winnipeg Soccer Complex,2021-01-24,02:23:01,Nicaragua,Luxembourg
Winnipeg Soccer Complex,2021-01-14,07:14:33,Algeria,Bangladesh
UCF Soccer and Track Stadium,2021-04-20,02:25:06,France,Kyrgyzstan
UCF Soccer and Track Stadium,2020-11-22,05:25:34,Djibouti,Portugal
UCF Soccer and Track Stadium,2021-02-27,19:08:19,New Zealand,Spain
UCF Soccer and Track Stadium,2021-02-27,04:33:21,Malaysia,Zimbabwe
El Marg Stadium,2021-04-29,15:04:24,Thailand,Uganda
El Marg Stadium,2020-12-11,19:25:30,Liechtenstein,Guyana
El Marg Stadium,2021-02-28,14:32:27,Faroe Islands,Netherlands
Recreation Ground,2021-03-19,10:30:11,Poland,Austria
Recreation Ground,2020-12-24,03:22:59,Ukraine,Ecuador
Recreation Ground,2021-02-12,17:12:38,Ghana,Slovakia
Recreation Ground,2021-03-16,20:00:48,Iraq,Thailand
Recreation Ground,2021-03-25,20:24:21,Azerbaijan,Armenia
Recreation Ground,2020-11-26,19:05:24,Greenland,Bangladesh
Recreation Ground,2021-02-05,00:02:19,Switzerland,Colombia
Recreation Ground,2020-12-15,16:56:50,Saudi Arabia,Liechtenstein
Recreation Ground,2021-04-24,03:30:47,Sri Lanka,Slovenia
Recreation Ground,2021-03-02,06:12:18,Benin,Ghana
Stafford Common,2021-03-18,19:14:36,Slovakia,Australia
Stafford Common,2021-04-23,20:24:34,Cape Verde,Suriname
Stafford Common,2021-04-19,11:17:22,Panama,Ukraine
Stafford Common,2021-04-16,06:30:12,South Sudan,Bhutan
Stafford Common,2020-12-23,04:52:27,Nicaragua,South Africa
Stafford Common,2021-01-06,18:21:07,Jordan,Ukraine
Stafford Common,2021-03-31,11:40:48,Portugal,Iceland
Stafford Common,2021-04-15,17:56:08,State of Palestine,North Korea
Stafford Common,2021-05-02,04:10:37,Azerbaijan,Belgium
The Old Spotted Dog Ground,2020-11-29,10:30:53,Saint Lucia,Angola
The Old Spotted Dog Ground,2021-01-25,23:50:11,Botswana,France
The Old Spotted Dog Ground,2021-03-29,21:40:22,Jordan,British Virgin Islands
The Old Spotted Dog Ground,2021-01-13,22:59:54,Antigua and Barbuda,Sri Lanka
The Old Spotted Dog Ground,2021-02-06,02:40:47,Peru,Slovenia
The Old Spotted Dog Ground,2020-12-20,20:38:08,New Zealand,Angola
The Old Spotted Dog Ground,2021-01-28,22:30:09,Myanmar,Jordan
The Old Spotted Dog Ground,2020-12-29,15:23:14,People's Republic of China,Liechtenstein
Stadionul Clujana,2020-12-03,20:58:24,Netherlands,Bulgaria
Stadionul Clujana,2021-05-01,19:12:59,South Korea,South Africa
Stadionul Clujana,2021-02-10,09:09:54,Hungary,Peru
Stadionul Clujana,2021-02-03,09:56:56,Kenya,Suriname
Stadionul Clujana,2021-01-16,06:30:07,Iran,Egypt
Stadionul Clujana,2021-02-02,03:06:31,Kuwait,Lithuania
Stadionul Clujana,2020-12-19,20:06:16,Sierra Leone,Saint Lucia
Sport-kompleksi Shatili,2021-01-13,01:41:23,Israel,Algeria
Sport-kompleksi Shatili,2021-02-21,01:14:49,Ireland,El Salvador
Sport-kompleksi Shatili,2020-12-20,11:47:34,Uruguay,Kuwait
SC Partizan-Teleoptik,2021-02-21,06:05:44,Vietnam,Pakistan
SC Partizan-Teleoptik,2021-01-08,04:16:24,France,Dominican Republic
SC Partizan-Teleoptik,2020-12-09,14:37:15,Paraguay,Mexico
SC Partizan-Teleoptik,2020-12-18,14:45:18,Slovakia,Panama
SC Partizan-Teleoptik,2021-04-16,04:15:48,Georgia,Sri Lanka
SC Partizan-Teleoptik,2021-01-04,10:09:38,Russia,Bangladesh
Lambert Park,2021-03-20,21:21:04,Australia,Nicaragua
Lambert Park,2021-04-15,20:55:56,Egypt,Ukraine
Lambert Park,2021-05-04,09:45:15,Ecuador,Kyrgyzstan
Lambert Park,2020-11-27,11:55:46,Portugal,Turkmenistan
Lambert Park,2021-03-28,03:18:21,Sweden,Bhutan
Lambert Park,2021-04-17,21:57:35,Czech Republic,Saint Vincent and the Grenadines
Lambert Park,2020-12-05,15:10:40,Malawi,Ecuador
Runavík Stadium,2021-04-04,05:06:29,Mexico,Burundi
Runavík Stadium,2021-03-25,11:13:39,Democratic Republic of the Congo,Solomon Islands
Runavík Stadium,2021-04-05,10:32:52,Georgia,Algeria
Runavík Stadium,2020-12-19,22:01:11,Colombia,Liberia
Runavík Stadium,2020-11-22,15:40:04,Japan,Ireland
Runavík Stadium,2020-12-05,17:16:30,Angola,Moldova
Runavík Stadium,2021-03-22,04:05:32,Bangladesh,Poland
Runavík Stadium,2020-12-29,10:40:09,Qatar,Democratic Republic of the Congo
Runavík Stadium,2021-01-04,09:02:30,Iraq,Cuba
Alumni Field,2021-02-21,17:01:37,Somalia,Liberia
Alumni Field,2021-02-20,15:32:34,Sweden,United States of America
Alumni Field,2021-03-15,13:44:39,Morocco,Croatia
Alumni Field,2021-05-09,07:37:59,Uruguay,Croatia
Evans Diamond,2021-03-14,05:54:14,Bulgaria,State of Palestine
Evans Diamond,2021-03-20,21:43:39,Grenada,Malaysia
Evans Diamond,2021-02-19,09:56:56,Burkina Faso,Greenland
Evans Diamond,2021-04-03,19:55:23,India,South Sudan
North Lodge Park,2020-12-28,14:20:18,Cyprus,Ireland
North Lodge Park,2021-05-16,23:35:54,Ukraine,Canada
North Lodge Park,2021-03-08,13:38:09,Luxembourg,Malaysia
North Lodge Park,2021-03-10,03:29:47,Belarus,Rwanda
North Lodge Park,2021-02-15,16:22:33,Georgia,Uzbekistan
North Lodge Park,2021-03-15,05:27:29,Kenya,Kyrgyzstan
Park Avenue,2021-03-19,20:21:57,Turkey,Somalia
Park Avenue,2021-02-28,05:47:13,Canada,Norway
Park Avenue,2020-11-22,05:05:41,Paraguay,Czech Republic
Park Avenue,2020-12-24,01:17:05,Turkmenistan,El Salvador
Park Avenue,2020-11-23,15:13:53,Ireland,Costa Rica
Park Avenue,2021-05-08,00:04:27,Papua New Guinea,Syria
Park Avenue,2021-05-02,20:54:59,Hungary,Burkina Faso
Park Avenue,2020-12-11,12:50:00,Russia,Ukraine
Park Avenue,2021-02-17,11:20:43,Republic of Abkhazia,Myanmar
Yunist Stadium,2021-02-13,12:24:31,Israel,Finland
Yunist Stadium,2021-05-18,10:39:37,Curaçao,Fiji
Yunist Stadium,2021-02-27,01:05:46,North Korea,Egypt
Yunist Stadium,2021-05-06,05:41:09,Belarus,State of Palestine
Yunist Stadium,2021-01-29,13:42:11,Denmark,Kuwait
Yunist Stadium,2021-05-16,11:41:47,Venezuela,Zambia
Yunist Stadium,2021-04-19,23:57:41,São Tomé and Príncipe,Peru
Yunist Stadium,2021-05-03,19:31:46,Bosnia and Herzegovina,The Gambia
Yunist Stadium,2020-12-28,08:20:09,Chile,Suriname
Yunist Stadium,2020-12-30,00:23:48,Cameroon,Singapore
Pod Vinicí,2021-04-28,03:48:37,Malaysia,Cuba
Pod Vinicí,2021-02-05,22:18:51,New Zealand,El Salvador
Pod Vinicí,2020-12-21,05:51:55,United Arab Emirates,Netherlands
Steel Slovakia aréna,2020-11-29,04:12:48,Saint Lucia,Honduras
Steel Slovakia aréna,2021-04-19,21:32:01,Dominica,Brazil
Steel Slovakia aréna,2021-05-04,13:38:38,Singapore,Saint Kitts and Nevis
SRC Biljanini Izvori,2021-01-13,01:14:49,Australia,Uganda
SRC Biljanini Izvori,2020-11-27,15:35:22,Saudi Arabia,Singapore
SRC Biljanini Izvori,2021-04-24,07:23:07,Solomon Islands,Libya
SRC Biljanini Izvori,2021-04-15,20:57:44,Bangladesh,Israel
SRC Biljanini Izvori,2020-12-22,21:47:11,Lithuania,Nigeria
SRC Biljanini Izvori,2021-04-02,02:06:07,Somalia,Singapore
SRC Biljanini Izvori,2021-02-04,11:34:34,Lebanon,Bhutan
SRC Biljanini Izvori,2020-12-15,19:38:47,Republic of Abkhazia,United Arab Emirates
SRC Biljanini Izvori,2021-02-05,03:16:10,Laos,State of Palestine
SRC Biljanini Izvori,2021-05-18,15:25:44,Ecuador,Qatar
Karnei Oren Memorial Field,2020-12-17,18:38:12,Kuwait,Dominican Republic
Karnei Oren Memorial Field,2021-02-02,23:20:14,Ireland,Saint Kitts and Nevis
Karnei Oren Memorial Field,2020-12-10,23:58:31,Nepal,São Tomé and Príncipe
Estádio Marques da Silva,2021-01-18,03:01:16,Uganda,Chile
Estádio Marques da Silva,2021-01-24,22:51:29,Iran,Taiwan
Estádio Marques da Silva,2020-12-28,14:58:24,Czech Republic,Brazil
Grant Park,2021-05-13,11:18:38,New Zealand,Greece
Grant Park,2021-03-03,00:32:50,Cape Verde,Iran
Grant Park,2020-11-29,03:22:40,Dominican Republic,Hungary
Grant Park,2021-05-11,01:49:05,France,Montenegro
Grant Park,2021-03-16,06:28:15,Republic of Abkhazia,France
Grant Park,2021-04-04,11:35:19,Cuba,Benin
Grant Park,2020-12-05,07:27:10,Bosnia and Herzegovina,Curaçao
Links Park,2021-04-01,23:17:33,Vietnam,British Virgin Islands
Links Park,2021-01-28,08:24:58,Belgium,Gabon
Links Park,2021-05-09,12:25:13,San Marino,Finland
Links Park,2021-04-23,15:25:21,Nigeria,Solomon Islands
Estadio Municipal de Pérez Zeledón,2021-05-12,17:41:00,Republic of Abkhazia,Algeria
Estadio Municipal de Pérez Zeledón,2020-12-24,11:30:15,Ivory Coast,Ireland
Estadio Municipal de Pérez Zeledón,2021-04-22,13:55:56,Slovakia,Bhutan
Estadio Municipal de Pérez Zeledón,2020-12-09,03:07:23,South Africa,Montenegro
Estadio Municipal de Pérez Zeledón,2021-04-22,16:13:44,People's Republic of China,Costa Rica
Estadio Municipal de Pérez Zeledón,2021-02-05,15:01:11,Vietnam,Cyprus
Chavdar Tsvetkov Stadium,2021-01-30,20:08:16,Burundi,Saint Kitts and Nevis
Chavdar Tsvetkov Stadium,2021-01-24,12:16:10,Malawi,Qatar
Chavdar Tsvetkov Stadium,2020-12-11,01:05:53,Saint Lucia,Albania
AZAL Arena,2021-04-03,21:33:22,Egypt,Greece
AZAL Arena,2021-05-20,01:26:15,Sweden,Ivory Coast
AZAL Arena,2021-05-05,18:36:35,Saudi Arabia,Bahrain
AZAL Arena,2021-04-17,08:29:37,Curaçao,Australia
AZAL Arena,2020-11-27,09:27:54,Croatia,Indonesia
Cocodrilos Sports Park,2021-01-07,03:59:54,Myanmar,Sierra Leone
Cocodrilos Sports Park,2021-05-19,03:01:03,Costa Rica,Democratic Republic of the Congo
Cocodrilos Sports Park,2021-01-25,09:58:54,Chile,Nepal
Cocodrilos Sports Park,2020-12-21,07:18:47,Curaçao,Bolivia
Cocodrilos Sports Park,2021-05-06,04:35:21,South Korea,Oman
Cocodrilos Sports Park,2021-04-18,07:36:05,Kuwait,Iceland
AKA Arena,2020-11-28,00:42:49,Israel,Saudi Arabia
AKA Arena,2021-02-11,03:09:44,Sri Lanka,Russia
AKA Arena,2020-12-04,08:22:43,New Zealand,Costa Rica
AKA Arena,2020-12-07,07:28:40,Iraq,Slovakia
AKA Arena,2021-01-23,21:50:21,France,Bangladesh
AKA Arena,2021-02-09,03:41:05,Mauritania,Peru
AKA Arena,2021-03-12,10:37:18,San Marino,Singapore
AKA Arena,2021-05-16,17:41:53,United Arab Emirates,Poland
AKA Arena,2021-03-29,10:52:42,Pakistan,Ecuador
Dalymount Park,2021-04-19,01:31:55,Finland,Democratic Republic of the Congo
Dalymount Park,2021-02-13,00:14:54,British Virgin Islands,Armenia
Dalymount Park,2021-05-17,20:33:28,El Salvador,Cape Verde
Dalymount Park,2020-12-06,03:53:06,Serbia,Taiwan
Dalymount Park,2021-03-11,11:15:53,Liechtenstein,Albania
Dalymount Park,2021-02-07,04:06:20,Mongolia,Nigeria
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-04-05,11:21:03,Burundi,Kuwait
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-03-07,12:43:59,Costa Rica,Austria
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2020-12-21,03:50:39,Myanmar,San Marino
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-01-13,21:44:03,Indonesia,Pakistan
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-03-04,10:03:57,Norway,Thailand
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2020-12-17,11:33:40,Saint Kitts and Nevis,Botswana
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-03-20,17:10:33,Mexico,France
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2021-01-06,02:25:48,Bahrain,Kosovo
"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",2020-12-01,17:55:58,Grenada,New Zealand
Bridge Road,2021-05-03,12:53:24,United Kingdom,Nicaragua
Bridge Road,2021-04-25,20:29:21,Mauritius,Sri Lanka
Bridge Road,2020-12-22,22:53:48,Cyprus,Slovenia
Bridge Road,2020-12-29,19:35:34,San Marino,Philippines
Bridge Road,2021-01-13,12:11:13,Zimbabwe,Iran
Bridge Road,2021-02-27,01:54:42,Japan,Solomon Islands
Bridge Road,2021-01-27,22:19:41,The Gambia,Mauritius
